,locname,Lat,Lng,name,ID,Location,Se Vende Maruchan, Se vende Guarana,¿Cuántos skus Guarana hay en anaquel?,¿Hay Guarana LATA 350ml ORIGINAL en anaquel?,¿Cual es el precio Guarana LATA 350ml Original?,¿Hay Guarana LATA 350ml ZERO en anaquel?,¿Hay Guarana PET 2L ORIGINAL en anaquel?,¿Hay Guarana PET 2L ZERO en anaquel?,¿Hay degustaciones de Guarana en la tienda est,¿Hay promocion de Guarana en la tienda esta se,	¿Se vende agua de coco?	¿Se vende chocolate?,¿Se vende veggie chips?,Veggie chips a la venta
2559572,Supermaxi Guayaquil 02 - Vía Samborondón Lote C Cuatro Uno,-2.0723812,-79.872655,Alejandro Vargas,Si,2,Si,1.32,Si,1.33,No,No,No,No,Si,2 Items,Si,3 Items,Si
2559571,Pharmacy Dorado,-2.0544942,-79.874296,Alejandro Vargas,Pharmacy Dorado,No,Si,1 Item,Si,2 Items,1.22,0.5,1.5,,,,,,
2559570,Hiper Mi Comisariato Rio Centro El Dorado,-2.0544445,-79.874294,Alejandro Vargas,Si,1,Si,1.32,No,No,No,No,No,Si,1 Item,Si,5 Items,Si,2 Items
2559569,Mi Comisariato Centenario,-2.2185054,-79.893214,Alejandro Vargas,Mi comisariato Centenario,No,Si,3 Items,Si,2 Items,3.27,2.14,3.77,1.64,0.43,,,,
2559568,Fybeca  South Mall,-2.2299928,-79.897973,Alejandro Vargas,Fybeca  South Mall,No,Si,1 Item,Si,1 Item,4.48,0.5,,,,,,,
2559085,Supermaxi South Mall,-2.2298945,-79.897991,Alejandro Vargas,Supermaxi South Mall,Si,1,0,0.99,0.0,No,No,Si,1,Si,1.32,No,No,No
2559029,Mi Comisariato Guayaquil 08 - Hiper Sur,-2.2416882,-79.894973,Alejandro Vargas,No,Si,4 Items,Si,3 Items,1.7,2.23,3.46,2.14,0.28,1.08,0.41,,,
2559028,Gran Aki Domingo Comin,-2.2418646,-79.891119,Alejandro Vargas,Gran Aki Domingo Comin,Si,1,0,0.99,0.0,No,No,Espera de pedido,Si,2 Items,Si,3 Items,Si,3 Items
2557740,Supermaxi Plaza Garzote,-2.1450322,-79.895339,Alejandro Vargas,Supermaxi plaza Garzote,Si,1,1,0.99,0.52,No,No,Si,2,Si,1.32,Si,1.32,No
2557739,Farmacias Económicas Garzote,-2.1442355,-79.894104,Alejandro Vargas,Farmacias Económicas Garzote,No,No,No,,,,,,,,,,,
2557738,Tia,-2.1439553,-79.893459,Alejandro Vargas,Tia,Type C ,No,Si,1 Item,Tia Garzote,Si,2 Items,Tia Garzote,2.49,1.49,0.35,,,
2557737,On the Run,-2.1458877,-79.886027,Alejandro Vargas,On the Run,Si,1,Si,1.7,No,No,No,No,No,Degustacion semana anterior,Si,2 Items,Si,1 Item
2557736,Mi Comisariato Guayaquil 15 - Ave. De Las Americas,-2.1455400,-79.885849,Alejandro Vargas,Si,1,Si,1.55,No,No,No,No,No,Agotada en pedido,Si,2 Items,Si,2 Items,Si
2557571,Megamaxi Mall del Sol,-2.1558066,-79.892006,Alejandro Vargas,Megamaxi Mall del Sol,Si,2,1,0.99,0.52,No,No,Vendiendo bien,Si,2132,Si,1.32,Si,1.33
2557489,Mi Comisariato las Americas,-2.1810797,-79.891874,Alejandro Vargas,Mi comisariato las Americas,Agotado,Si,1 Item,Si,2 Items,Si,2 Items,2.36,1.74,0.62,1.33,1.21,,
2557488,Aki Centenario,-2.1887337,-79.887398,Alejandro Vargas,Aki Centenario,No,Si,2 Items,Si,2 Items,2.01,1.66,1.7,1.67,,,,,
2557487,Tia Foro,-2.1908045,-79.888224,Alejandro Vargas,Tia Foro,No,Si,1 Item,Si,2 Items,Tia Express,0.49,0.99,0.99,,,,,
2557486,Mi Comisariato El Rosado,-2.1910153,-79.884620,Alejandro Vargas,Mi comisariato El Rosado,Si,1 Item,Si,3 Items,Si,2 Items,1.7,1.64,1.11,1.33,1.08,3.51,,
2555770,Del Portal Supermercado Kennedy,-2.1674634,-79.895997,Alejandro Vargas,No,Si,1 Item,Si,2 Items,1.23,2.91,1.57,,,,,,,
2555769,Listo  kennedy Norte,-2.1678795,-79.895923,Alejandro Vargas,Listo  kennedy Norte,Si,2 Items,Si,1 Item,Si,1 Item,6.25,1.75,1.7,1.99,,,,
2555730,Pharmacys Guayaquil - Cc Policentro Local,-2.1712009,-79.900272,Alejandro Vargas,No,Si,2 Items,Si,1 Item,—,No venta de otros productos,3.58,1.98,1.5,,,,,
2555729,Supermaxi Policentro,-2.1702327,-79.899936,Alejandro Vargas,Supermaxi Policentro,Si,1,0,0.99,0.0,No,No,Solo IL Pollo,Si,1,No,Si,1.33,No
2555728,Mi Comisariato Plaza Quil,-2.1695218,-79.899610,Alejandro Vargas,Mi Comisariato Plaza Quil,Si,1,Si,1.32,No,No,No,No,No,-,No,Si,3 Items,Si
