,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2550446,Corporación vega San Antonio,-11.862634,-77.008865,Moises Monroy,Corporación vega San Antonio,5,2,Si,Si,2.40,1.30,Si,Si,1,
2550304,Tambo Mar Rojo - Ave. Nicolás Ayllón,-12.029525,-76.924751,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,2,,,
2550246,Tambo Maestro - Ave. EL MAESTRO,-11.966637,-77.056626,Heidy Ovalles,5,2,2.80,1.50,Si,1 items,1,,,,
2550127,Wong Santiago de Surco 1 - Calle Monte Bello 150,-12.111636,-76.991914,Deivicson Lugo,6,2,Si,2.70,1.40,Si,Si,1,,,
2550053,tambo Ayllón c20,"-12.06326,",-76.982695,Elena Gabriel,tambo Ayllón c20,6,1,Si,2.80,1.50,Si,Si,3,,
2550011,Plaza Vea Centro Civico - Ave. Inca Garcilazo,-12.056910,-77.037534,Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2550004,Tambo Arequipa -Comas - Jr. Union Nro 603,-11.923203,-77.054107,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2549913,Plaza Vea Risso - Ave. Arequipa No 2250,-12.086744,-77.034916,Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2549845,tambo tupac c 57,-11.923203,-77.054107,Heidy Ovalles,tambo tupac c 57,6,3,Si,2.80,1.50,Si,1 items,1,,
2549805,Tambo Franklin - Urbanizacion Fundo Vazques,"-12.06778,",-76.975318,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,Si,2,,
2549735,Metro Plaza Norte - Esq. Ave. Tomás,-12.006124,-77.060327,Ruben Munoz,6,4,Si,Si,2.7,1.40,Si,Si,Si,1,
2549716,Plaza Vea Super Mercaderes - Ave. Benavides 51,-12.129331,-76.983700,Pedro Pozo ,1,0,1.10,1 items,Si,,,,,,
2549669,Vivanda Monterrico - Ave. La Encalada,-12.108925,-76.971839,Deivicson Lugo,4,Si,0,1.39,Si,Si,1,,,,
2549666,Tambo Victor Belaunde - Ave. Victor Belaunde,-11.923203,-77.054107,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2549579,Tambo Pascana - Lote 13 Mza.Urb La Pascana,-11.923203,-77.054107,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2549575,Tambo Paracas - Calle Los Paracas,-12.075794,-76.987826,Elena Gabriel,6,Si,2.80,1.50,Si,Si,5,,,,
2549517,Plaza Vea Izaguirre - Ave. Carlos Izaguirre 284,-11.988834,-77.062558,Ruben Munoz,3,Si,0,1.10,Si,Si,1,,,,
2549499,Tambo Guifuente - Ave. Guillermo De,"-11.94177,",-77.060118,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2549483,Metro Independencia - Ave. Alfredo Mendiola,-11.987668,-77.063470,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,Si,Si,1
2549465,Tambo Quechueas c9 - MZA. B Lote.,-12.076098,-76.982172,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,2,,,
2549425,Tambo Universitaria C70 - Ave. Universitaria 7091,-11.923203,-77.054107,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2549393,Metro Pascana - Ave. Túpac Amaru,-11.932506,-77.044022,Ruben Munoz,5,3,Si,2.70,1.40,Si,Si,Si,1,,
2549358,Plaza Vea Comas - Ave. Tupac Amaru 3860,-11.933253,-77.045292,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2549342,Tambo Belaunde C9,-11.923203,-77.054107,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2549309,"Metro Comas Retablo - Ave. Universitaria, Lote 1",-11.934021,-77.056210,Ruben Munoz,6,3,Si,Si,2.70,1.40,Si,Si,1,,
2549270,Tambo Mbastidas C9 - Ave. MICAELA BASTIDAS NRO 916,-11.923203,-77.054107,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2549236,Plaza Vea Los Olivos - Ave. Antúnez de Mayolo,-11.994563,-77.072216,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2549212,Plaza Vea Universitaria - Ave. Universitaria Cdra. 13,-12.010592,-77.079892,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2549206,Tambo Quechuas - Ave. Los Quechuas,-12.076298,-76.975658,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,2,,,
2549155,Tambo Universitaria-C106 - Ave. Universitaria 10640,"-11.90042,",-77.039543,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2549093,TAMBO EVITAMIENTO ,-12.081880,-76.979552,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2549067,Tambo Collique,-11.968750,-77.056986,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2548509,Tambo Leoncio Prado - Jr. Leoncio Prado,"-12.0898,""",-77.072066,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2548484,tambo dominicos c5,-12.016763,"-77.09257,",Heidy Ovalles,tambo dominicos c5,5,1,Si,2.80,1.50,Si,1 items,1,,
2548481,tambo Sucre c10,"-12.08842,",-77.068963,Elena Gabriel,tambo Sucre c10,6,2,Si,2.80,1.50,Si,1 items,1,,
2548454,Tambo Dominicos - Ave. Dominicos NRO. 722,-12.014147,-77.094503,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2548425,Plaza Vea Colonial - Ave. Oscar R. Benavides,-12.051911,-77.092536,Ruben Munoz,2,Si,0,1.10,Si,Si,1,,,,
2548388,Tambo Brasil C32 - Ave. Brasil -3238,-12.089205,-77.065500,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,1,,,
2548363,Plaza Vea San Borja - Calle Morelli cuadra,-12.090093,-77.004830,Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2548310,Tambo Tomas Valle - Ave. Tomás Valle,-12.015829,-77.097049,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2548259,Metro Colonial - Ave. R. Oscar Benavides,-12.049002,-77.079596,Ruben Munoz,5,2,2.70,1.40,Si,Si,Si,1,,,
2548247,Tambo Brasil - Ave. Brasil 2688,-12.082718,-77.063676,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2548226,Plaza Vea Milenia San Isidro - Ave. Paseo de la Republica,-12.097504,-77.026183,Pedro Pozo ,3,Si,0,1.10,1 items,Si,,,,,
2548190,Metro Preshing - Ave. Gregorio Escobedo,-12.089196,-77.057841,Ruben Munoz,5,3,Si,2.70,1.40,Si,Si,Si,1,,
2548159,Metro San Felipe - C.C. San Felipe,-12.087036,-77.053898,Ruben Munoz,6,5,Si,Si,2.70,1.40,Si,Si,Si,1,
2548154,tambo 1ro de mayo,-12.041205,-77.097833,Heidy Ovalles,tambo 1ro de mayo,5,3,2.80,1.50,Si,1 items,1,,,
2548132,Vivanda Javier Prado - Ave. Javier Prado Oeste 999,-12.093216,-77.057892,Ruben Munoz,4,Si,0,1.39,Si,Si,1,,,,
2548121,Plaza Vea Super Corpac - Calle Remington 151-159,-12.098529,-77.011409,Pedro Pozo ,1,0,1.10,1 items,Si,,,,,,
2548110,corporación vega colonial ,-12.047458,-77.050190,Moises Monroy,corporación vega colonial ,5,1,Si,Si,2.40,1.30,Si,Si,1,
2548104,Plaza Vea Salaverry - Ave. Felipe Santiago,-12.089499,-77.052232,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2548045,Vivanda Dos de Mayo - Ave. Dos de Mayo,-12.092055,-77.045416,Ruben Munoz,4,Si,0,1.39,Si,Si,1,,,,
2547999,Tambo Sucre C6 - Ave. JOSE ANTONIO,-12.077604,-77.064603,Elena Gabriel,6,1,Si,2.80,1.50,Si,1 items,3,,,
2547990,Vivanda Pezet - Ave. Gral. Juan Antono,-12.102553,-77.052195,Ruben Munoz,4,Si,0,1.39,Si,Si,1,,,,
2547934,Tambo Chocano - Ave. José Santos,-12.042706,-77.096781,Heidy Ovalles,5,3,Si,2.80,1.50,Si,1 items,1,,,
2547920,Tambo Clement - Mza 33 Lote,-12.075631,-77.064015,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,3,,,
2547893,Plaza Vea Super Dasso - Ave. Camino Real 1335,-12.107492,-77.039091,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2547854,Vivanda Libertadores - Calle Los Libertadores 596,"0.0,""lng"":","0.0,""submi",Ruben Munoz,4,Si,0,1.39,Si,Si,1,,,,
2547835,Wong Miraflores 1 - Ave. Santa Cruz 771,-12.109977,-77.035948,Ruben Munoz,4,4,Si,2.70,1.40,Si,Si,1,,,
2547826,Tambo Chalaca - Ave. LA CHALACA,-12.045262,-77.099310,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2547796,Tambo Loreto - Ave. BRASIL NRO. 2080,-12.078528,-77.057088,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2547790,Wong Miraflores 4 - Ave. Malecón Bajada,-12.122900,-77.032332,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2547774,Corporación vega minka market,-12.047485,-77.110254,Moises Monroy,Corporación vega minka market,5,2,Si,Si,2.40,1.30,Si,Si,1,
2547719,Tambo Cargo City - Lima Cargo: Ave.,-12.027983,-77.103373,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2547713,Metro Shell - Calle Shell No 250,-12.123258,-77.029846,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2547700,Tambo Bolivar2 - Ave. Bolívar 126,-12.075036,"-77.05421,",Elena Gabriel,5,1,2.80,1.50,Si,Si,1,,,,
2547650,Vivanda Benavides - Ave.enida Benavides 495,-12.124225,-77.028004,Ruben Munoz,4,Si,0,1.39,Si,Si,1,,,,
2547586,Wong Aldabas - Ave. Benavides Cdra. 52,-12.125813,-77.017822,Ruben Munoz,6,4,Si,Si,2.70,1.40,Si,Si,1,,
2547581,Tambo CAC - Centro Aereo Comercial,-12.023291,-77.104638,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2547560,Wong Aurora - Calle Arias schereiber,-12.121634,-77.011108,Ruben Munoz,6,5,Si,Si,2.70,1.40,Si,Si,1,,
2547488,Tambo Cantacallao - Ave. CANTA CALLAO,-11.996329,-77.112001,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2547358,Tambo dominicana,-12.074855,-77.048385,Elena Gabriel,6,1,Si,2.80,1.00,Si,Si,2,,,
2547311,Tambo Bocanegra - Ave. Bocanegra Mz,-12.007351,-77.100334,Heidy Ovalles,5,2,Si,2.80,1.50,Si,1 items,1,,,
2546807,TAMBO LÌCENCIADOS,"-11.87763,",-77.128591,Elena Gabriel,TAMBO LÌCENCIADOS,6,1,Si,2.80,1.50,Si,Si,2,,
2546772,TAMBO COSTA AZUL ,-12.173944,-77.015812,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2546746,"Vivanda Pardo , av José Pardo ",-12.119477,-77.036006,Pedro Pozo ,4,Si,0,1.39,1 items,Si,,,,,
2546716,tambo mayolo c9,-11.994245,"-77.07315,",Heidy Ovalles,tambo mayolo c9,6,1,Si,2.80,1.50,Si,1 items,1,,
2546708,TAMBO HUAYLAS C14 ,-12.176684,-77.017097,Luis Castro,6,3,Si,280,150,Si,Si,1,,,
2546672,TAMBO HUAYLAS C18 ,-12.179783,-77.014325,Luis Castro,TAMBO HUAYLAS C18 ,4,1,Si,280,150,Si,Si,1,,
2546609,Tambo Antunez - Ave. Santiago Antunez,-11.995847,-77.080990,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2546560,tambo mavil-smp,-11.974190,"-77.08856,",Elena Gabriel,tambo mavil-smp,6,2,Si,2.80,1.50,Si,1 items,2,,
2546523,Plaza Vea Super Alameda Sur - Ave. Alameda Sur,-12.196728,"-77.01203,",Pedro Pozo ,4,Si,0,1.10,1 items,1 items,,,,,
2546503,Tambo Uruguay - Ave. Uruguay 400,-12.054114,-77.039431,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2546476,TAMBO HUAYLAS C1 ,"-12.18758,",-77.007807,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2546475,tambo mayolo c19,-11.995765,-77.084180,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2546451,Plaza Vea Guardia Civil - Ave. Guardia Civil,-12.172890,"-76.99294,",Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2546398,Tambo Alamdedasur C1 - Ave. ALAMEDA SUR,-12.190193,-77.006370,Luis Castro,5,3,Si,280,150,Si,2 items,1,,,
2546347,Economax Lima - Urb. Parcelación Rústica,-12.016342,-76.992639,Ruben Munoz,3,Si,0,1.20,Si,2 items,1,,,,
2546343,Tambo Villa UPC - Ave. Alameda San,-12.198287,-77.009667,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2546341,Tambo Venezuela c9 ,-12.054775,-77.047086,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2546327,Tambo Palmeras - Ave. Las Palmeras,-11.990341,-77.071672,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2546301,tambo canta callao -vdr,-11.978173,-77.092996,Elena Gabriel,tambo canta callao -vdr,5,1,Si,2.80,1.50,Si,Si,3,,
2546269,Tambo Venezuela c11,-12.055366,-77.051010,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,2,,,
2546243,tambo palmeras c 41,-11.986443,-77.072626,Heidy Ovalles,tambo palmeras c 41,6,1,Si,2.80,1.50,Si,1 items,1,,
2546211,Wong ATE - Ave. La Molina,-12.059976,-76.963140,Ruben Munoz,4,5,Si,2.70,1.40,Si,Si,1,,,
2546164,Tambo Bolivia - Ave. Bolivia 1186,-12.057249,-77.050869,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2546159,Wong Camacho - Ave. Javier Prado Este,-12.080612,-76.967269,Ruben Munoz,5,5,Si,Si,2.70,1.40,Si,Si,1,,
2546113,Metro La Molina - Ave. La Molina,-12.070065,-76.957749,Ruben Munoz,6,3,Si,Si,2.70,1.25,Si,Si,Si,1,
2546066,tambo los olivos,-11.980671,-77.084883,Elena Gabriel,tambo los olivos,6,Si,2.80,1.50,Si,Si,6,,,
2546052,Tambo La Curva - Ave. GUARDIA CIVIL,-12.184891,-77.007235,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2546048,tambo naranjal c11,-11.977859,-77.078286,Heidy Ovalles,tambo naranjal c11,6,2,Si,2.80,1.50,Si,1 items,1,,
2545999,Plaza Market San Jorge - Ave. La Molina 1080,-12.069802,-76.958075,Ruben Munoz,4,Si,0,1.10,Si,Si,1,,,,
2545973,Tambo Arica C5 - Ave. ARICA NRO. 533,-12.059088,-77.046318,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2545962,Tambo G Civil - Ave. GUARDIA CIVIL,-12.174602,-76.993505,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2545897,tambo maranon,-11.971945,"-77.07125,",Heidy Ovalles,tambo maranon,6,1,Si,2.80,1.50,Si,1 items,1,,
2545838,Tambo El Sol Chorrillos - Ave. El sol,-12.177150,-76.997627,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2545809,Tambo Naranjal - Ave. Naranjal 1425,-11.976866,-77.082645,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2545807,Plaza Vea La Molina - Ave. Raúl Ferrero 1205,-12.091779,-76.950022,Ruben Munoz,4,Si,0,1.10,Si,1 items,1,,,,
2545777,Wong La Molina 1 - Las Retamas 190,-12.091941,-76.950835,Ruben Munoz,5,4,Si,2.70,1.40,Si,Si,1,,,
2545709,TAMBO MATELLINI C4 ,-12.176323,-77.006721,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2545691,Vivanda Monterrico - Ave. La Encalada,-12.108917,-76.971838,Ruben Munoz,4,Si,0,1.39,Si,1 items,1,,,,
2545668,Tambo Universitaria c61,-11.963800,-77.071824,Heidy Ovalles,5,2,Si,2.80,1.50,Si,1 items,1,,,
2545650,Tambo Huandoy - Ave. Huandoy Mz,-11.959880,-77.076078,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2545585,Plaza Vea Jockey - Ave. Javier Prado Este,-12.084758,-76.975709,Ruben Munoz,4,Si,0,1.10,Si,1 items,1,,,,
2545558,tambo villa sol,-11.958743,-77.069523,Heidy Ovalles,tambo villa sol,5,3,Si,2.80,1.50,Si,1 items,1,,
2545537,TAMBO MATELLINI C1 ,-12.179882,-77.010722,Luis Castro,TAMBO MATELLINI C1 ,6,3,Si,280,150,Si,2 items,1,,
2545464,Tambo 2 de Octubre,-11.948337,-77.079851,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2545461,tambo u.c.v.los olivos,"-11.95325,",-77.069768,Heidy Ovalles,tambo u.c.v.los olivos,6,2,Si,2.80,1.50,Si,1 items,1,,
2545434,TAMBO PUMA C1 ,-12.176939,-77.011526,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2545331,tambo pro,-11.937716,"-77.0737,""",Heidy Ovalles,tambo pro,6,2,Si,2.80,1.50,Si,1 items,1,,
2545328,Tambo Civico-PRO - Jirón La Honradez,-11.935944,-77.075565,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2545319,Tambo Matellini - Ave. Matellini 153,-12.178865,-77.009841,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2544654,Tambo Bolivar2 - Ave. Bolívar 126,-12.074900,-77.054169,Elena Gabriel,5,1,2.80,1.50,Si,Si,1,,,,
2544634,Tambo Benavides 4 - Ave. Benavides 2220-2230,-12.127620,-77.009193,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2544589,Tambo Bolivar - Ave. Bolívar 1402,-12.072153,-77.068925,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2544583,tambo tda la marina,-12.077883,-77.092355,Heidy Ovalles,tambo tda la marina,5,3,2.50,1.50,Si,1 items,1,,,
2544582,TAMBO BENAVIDES C7 ,"-12.12597,",-77.024601,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2544556,Tambo bolívar c11,-12.072557,-77.065676,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,2,,,
2544550,Plaza Vea Breña - Calle Juan Pablo,-12.065778,-77.048295,Pedro Pozo ,4,Si,0,1.10,1 items,1 items,diferencia precio Ramen res ,,,,
2544505,Plaza Vea Brasil - Ave. Brasil 1599,-12.075356,-77.053208,Pedro Pozo ,2,0,1.10,1 items,1 items,diferente precio Ramen res ,,,,,
2544407,Tambo Schell - Ave. Schell N°,-12.123199,-77.028456,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2544389,Plaza Vea Sucre - Ave. Sucre cdra. 5,-12.076079,-77.064582,Pedro Pozo ,4,Si,0,1.10,1 items,1 items,,,,,
2544364,Tambo Escardo - Ave. Rafael Escardó.,-12.074518,-77.092098,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2544352,Tambo Escardo - Ave. Rafael Escardó.,-12.074507,-77.092047,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2544307,Tambo Bolivar3 - Calle Bolivar Nro 850,-12.071461,-77.060890,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2544273,Tambo Inclan - Calle CORONEL INCLAN,-12.117044,-77.031363,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2544255,Tambo Libertad - Ave. Rafael Escardo,-12.082884,-77.095857,Heidy Ovalles,6,2,Si,2.80,1.50,Si,1 items,1,,,
2544165,tambo marina c29,-12.076306,-77.096211,Heidy Ovalles,tambo marina c29,6,2,Si,2.80,1.50,Si,1 items,1,,
2544123,Tambo Tingo Maria - Ave. Tingo Maria,-12.058246,-77.058283,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2544023,Tambo Marina c32,-12.073968,-77.099632,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2543953,Tambo Naciones U - Ave. Naciones Unidas,-12.051355,"-77.06209,",Elena Gabriel,5,3,Si,2.80,1.50,Si,2 items,3,,,
2543943,tambo faucet c 5,-12.064713,-77.097108,Heidy Ovalles,tambo faucet c 5,6,2,Si,2.80,1.50,Si,1 items,1,,
2543940,Tambo Berlin - Calle Berlin 389,-12.120407,-77.033688,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2543829,TAMBO 28 DE JULIO ,-12.126767,-77.030228,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2543826,Tambo Marina C22 - Ave. La Marina,-12.077961,-77.085967,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2543823,Tambo Los Reyes,-12.054456,"-77.06747,",Elena Gabriel,5,3,Si,2.80,1.50,Si,2 items,1,,,
2543779,Tambo Valle de oro - Calle Vara De Oro,-12.025491,-76.998158,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2543776,TAMBO 28 DE JULIO C6 ,-12.127536,-77.027916,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2543717,Tambo Marina c16,-12.078475,"-77.07955,",Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2543659,Tambo San Marco,-12.057552,-77.079728,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,1,,,
2543616,TAMBO REDUCTO,-12.130226,-77.023782,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2543545,tambo stip de paso,-12.074429,-77.079322,Heidy Ovalles,tambo stip de paso,6,1,Si,2.80,1.50,Si,1 items,1,,
2543527,TAMBO PANAMA 63 ,-12.129191,-77.018112,Luis Castro,5,1,Si,2.80,1.50,Si,Si,1,,,
2543473,Tambo Panama C59 - Ave. ROOSEVELT NRO.,-12.122807,-77.018413,Luis Castro,5,2,Si,280,150,Si,1 items,1,,,
2543470,Tambo Roma - Ave. Oscar R.,-12.049111,-77.071961,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2543468,Tambo Rivaguero C14 - Ave. JOSE DE,-12.047118,-76.999992,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2543453,Tambo Cornejo - Ave. Mariano Cornejo,-12.067853,-77.073664,Heidy Ovalles,5,1,Si,2.80,1.50,Si,1 items,1,,,
2543360,Tambo Benavides C16 - Ave. Benavides 1615,-12.126188,-77.015982,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2543330,universitaria,-12.063492,-77.078448,Heidy Ovalles,universitaria,6,1,Si,2.80,1.50,Si,1 items,1,,
2543301,Tambo Benavides C19 - Ave. BENAVIDES NRO. 1917,-12.126937,-77.012525,Luis Castro,5,3,Si,2.80,1.50,Si,2 items,1,,,
2542643,tambo olivos-smp,-11.987783,-77.084203,Elena Gabriel,tambo olivos-smp,6,3,Si,2.80,1.50,Si,2 items,1,,
2542626,TAMBO ARAMBURU C9 ,-12.102072,-77.021099,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2542586,tambo pte camote,-11.989843,-77.097185,Elena Gabriel,tambo pte camote,5,3,Si,2.80,1.50,Si,2 items,1,,
2542538,Plaza Vea Bolichera - Ave. Tomás Marsano 5000,-12.148882,-76.987052,Pedro Pozo ,4,Si,0,1.10,1 items,Si,,,,,
2542530,"Tambo Atento - Lote 3, seccion",-12.056839,-76.963510,Moises Monroy,5,2,2.80,1.50,Si,1 items,1,,,,
2542528,tambo mendiola c5,-12.025713,-77.058750,Heidy Ovalles,tambo mendiola c5,6,1,Si,2.80,1.50,Si,1 items,1,,
2542509,tambo mayolo c19,-11.996370,-77.084427,Elena Gabriel,tambo mayolo c19,6,3,Si,2.80,1.50,Si,2 items,2,,
2542482,Tambo Habich c5 - CL.Eduardo Habich Mza.B,-12.027153,-77.056521,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2542451,Tambo Aramburu - Ave. Aramburu 718,-12.102208,-77.023423,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2542365,Tambo Aramburu 2 - Ave. Andres Aramburú,-12.102878,-77.028593,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2542317,Plaza Vea Caminos del Inca - Ave. Caminos del Inca,-12.114493,-76.990864,Ruben Munoz,4,Si,0,1.10,Si,1 items,1,,,,
2542305,Tambo Universitaria c61,-11.963731,-77.071693,Elena Gabriel,5,2,Si,2.80,1.50,Si,1 items,3,por quebrar todo maruchan,,
2542283,TAMBO C MOREYRA C1 ,-12.097556,-77.024164,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2542276,PlazaVea Higuereta -  Ave. Ave.iación 5150,-12.126956,-77.000711,Pedro Pozo ,0,1.10,,,,,,,,,
2542196,Wong Santiago de Surco 1 - Calle Monte Bello 150,-12.111919,-76.992100,Ruben Munoz,6,5,Si,Si,2.70,1.40,Si,Si,1,,
2542169,Plaza Vea Cortijo,-12.134720,-77.018202,Pedro Pozo ,plaza vea cortijo,3,Si,0,1.10,1 items,1 items,,,,
2542165,Tambo Mexico Comas - Mexico-Comas Mz G Lote,-11.955615,"-77.05886,",Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2542154,tambo tda habich,-12.024758,-77.051768,Heidy Ovalles,tambo tda habich,6,3,Si,2.80,1.50,Si,1 items,1,,
2542149,Tambo Huarochiri C4,-12.060432,-76.942656,Moises Monroy,4,1,2.80,1.50,Si,Si,1,,,,
2542129,Metro Limatambo - Ave. Benjamin Doig,-12.110310,-77.001866,Ruben Munoz,6,3,Si,Si,2.70,1.40,Si,Si,1,,
2542092,Tambo Unger c7 - Ave. GERARDO UNGER,-12.023506,-77.051081,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2542014,Plaza Vea Ayacucho,-12.142650,-77.002953,Pedro Pozo ,plaza vea Ayacucho ,1,0,1.29,1 items,1 items,,,,,
2541987,Tambo Guifuente - Ave. Guillermo De,-11.941836,-77.061189,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2541921,Plaza Vea Primavera - Ave. Angamos Este 2337,-12.111422,-77.006970,Ruben Munoz,3,0,1.10,Si,Si,1,,,,,
2541900,Tambo C Moreyra C3 - Ave. CANAVAL Y,-12.096994,-77.022767,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2541857,Tambo Republica C5 - Ave. PASEO DE,-12.095833,-77.024138,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2541842,plaza norte,-12.007772,-77.053869,Heidy Ovalles,plaza norte,6,2,Si,2.80,1.50,Si,1 items,1,,
2541839,Tambo Universitaria C70 - Ave. Universitaria 7091,-11.937985,-77.059315,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,3,,,
2541801,Tambo Chinchon - Calle Chinchón Nro 960,-12.092996,-77.032034,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2541796,violeta,-12.006230,-77.053630,Heidy Ovalles,violeta,6,1,Si,2.80,1.50,Si,1 items,1,,
