,locname,Lat,Lng,name,Missing location,¿Cuántos skus IL hay en anaquel? ,¿Cuántos skus RS hay en anaquel? ,¿Hay IL GALLINA en anaquel? ,¿Hay RS GALLINA en anaquel? ,¿Cual es el precio de IL?,¿Cual es el precio de RS?,¿Todos los sabores IL tienen el mismo precio?,¿Todos los sabores RS tienen el mismo precio?,¿Hay degustaciones de Maruchan en la tienda esta semana? ,¿Hay promocion de Maruchan en la tienda esta semana? 
2566721,Metro Canadá - Ave. Canadá No 654,-12.084369,-77.013482,Deivicson Lugo,6,Si,2.70,1.50,Si,Si,1,,,,
2566695,TAMBO BENAVIDES C7 ,-12.124968,"-77.02564,",Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2566668,Tambo Schell - Ave. Schell N°,-12.123187,-77.028454,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2566625,Tambo La Paz - Ave. Ernesto Diez,-12.122347,-77.026893,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2566622,Tambo Tusilagos - Ave. TUSILAGOS OESTE,-12.013093,-77.004206,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2566508,Tambo Petit C54 - Ave. Petit Thouars,-12.116995,-77.028153,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2566503,Tambo Liquenes - MZA. D-1 LOTE.,-12.017813,-77.003128,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2566415,Tambo Cajagua - Urbanización Caja de Agua Parcela,-12.025877,-77.010083,Moises Monroy,5,3,Si,2.80,1.50,Si,2 items,1,,,
2566244,Tambo Costanera - Ave. COSTANERA NRO. 1070,-12.087058,-77.093358,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,2,,,
2566211,Tambo Inclan - Calle CORONEL INCLAN,-12.116795,-77.031323,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2566172,Tambo Haravicu - Jr. Haravicu 376,-12.024503,-76.988705,Moises Monroy,6,1,Si,2.80,1.00,Si,Si,1,,,
2566142,Tambo Berlin - Calle Berlin 389,-12.120173,-77.033600,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2566089,Tambo Escardo - Ave. Rafael Escardó.,-12.082921,"-77.09598,",Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,Si,2,,
2566081,TAMBO 28 DE JULIO ,-12.126685,-77.030230,Luis Castro,5,2,Si,280,150,Si,1 items,1,,,
2565997,TAMBO 28 DE JULIO C6 ,-12.127580,-77.027692,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2565976,Tambo La Marina C29 - Ave. La Marina,-12.076265,-77.096241,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,2,,,
2565937,TAMBO REDUCTO,-12.130210,-77.023948,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2565899,Tambo Marina c32,-12.074244,-77.100029,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2565853,TAMBO PANAMA 63 ,-12.129137,-77.018246,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2565760,Tambo Insurgentes - Ave. Insurgentes 750,-12.067500,-77.104113,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2565755,Tambo Panama C59 - Ave. ROOSEVELT NRO.,-12.123297,-77.018188,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2565712,Tambo chinchaysuyo,-12.027162,-76.999851,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2565654,Tambo Benavides C16 - Ave. Benavides 1615,-12.126603,-77.016010,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2565613,Tambo Rivaguero - Ave. Riva Agüero,-12.053450,-77.003767,Moises Monroy,6,Si,2.80,1.50,Si,Si,1,,,,
2565584,tambo faucet c 5,-12.064496,-77.097235,Elena Gabriel,6,2,Si,2.80,1.50,Si,1 items,1,,,
2565548,Tambo Benavides C19 - Ave. BENAVIDES NRO. 1917,-12.126944,-77.012567,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2565504,Tambo Rivaguero C14 - Ave. JOSE DE,-12.047134,-76.999738,Moises Monroy,4,1,Si,2.80,1.50,Si,Si,1,,,
2565478,Tambo Benavides 4 - Ave. Benavides 2220-2230,-12.127603,-77.009228,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2564733,Tambo San German - San German Esq.,-12.019106,"-77.07655,",Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,2,,,
2564708,"Tambo Atento - Lote 3, seccion",-12.056646,-76.963889,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2564671,TAMBO ARAMBURU C9 ,-12.102255,-77.021060,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2564669,Tambo Jose Granda - Ave. Jose Grande,-12.023141,-77.082908,Elena Gabriel,5,1,Si,2.80,1.50,Si,Si,1,,,
2564666,Vivanda Benavides - Ave.enida Benavides 495,-12.124309,-77.027841,Liz Garcia,0,1.39,,,,,,,,,
2564664,Wong Aurora - Calle Arias schereiber,-12.121268,-77.011217,Liz Garcia,6,3,Si,Si,2.70,1.40,Si,Si,1,,
2564578,Tambo Aramburu - Ave. Aramburu 718,-12.102256,-77.023365,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2564551,Tambo Celima - Ave. Constructores Nro 107,-12.067485,-76.958168,Moises Monroy,4,2,2.80,1.50,Si,1 items,1,,,,
2564538,Tambo Aramburu 2 - Ave. Andres Aramburú,-12.102861,-77.028596,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2564526,TAMBO AV.PERU C36,-12.030723,-77.087071,Elena Gabriel,TAMBO AV.PERU C36,4,2,Si,2.80,1.50,Si,1 items,2,,
2564453,Tambo constructores ,-12.062578,-76.945755,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2564442,Tambo Quilca - Ave. Quilca 451,-12.028290,-77.094620,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2564434,TAMBO C MOREYRA C1 ,"-12.09738,",-77.024842,Luis Castro,5,3,Si,2.80,1.50,Si,2 items,1,,,
2564330,TAMBO AV .PERU C22,"-12.03189,",-77.069198,Elena Gabriel,TAMBO AV .PERU C22,6,1,Si,2.80,1.50,Si,Si,3,,
2564265,Metro Chorrillos - Ave. Prol. Paseo,-12.173136,-77.012144,Ruben Munoz,8,1,Si,2.70,1.40,Si,Si,1,,,
2564236,Tambo Huarochiri C4,-12.060465,-76.942676,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2564228,Plaza Vea Jockey - Ave. Javier Prado Este,-12.084906,-76.976128,Deivicson Lugo,0,1.10,,,,,,,,,
2564225,Tambo C Moreyra C3 - Ave. CANAVAL Y,-12.097000,-77.022957,Luis Castro,6,3,Si,6,3,Si,2 items,1,,,
2564223,Tambo Esperanza - Ave. Perú 1847-1853,-12.032171,-77.065566,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2564179,Metro Paseo Chorrillos - Ave. Guardia Civil,-12.184267,-77.000431,Ruben Munoz,3,1,Si,Si,2.70,1.40,Si,Si,1,,
2564177,Tambo Melgarejo - Ave. Melgarejo 596,-12.066963,-76.938436,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2564134,Metro Alameda Sure - Ave. Alameda Sur,-12.198386,-77.011869,Ruben Munoz,4,1,Si,Si,2.70,1.40,Si,Si,1,,
2564125,Tambo Republica C5 - Ave. PASEO DE,-12.095824,-77.024128,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2564045,Metro Huaylas - Ave. Huaylas No 2070,-12.180922,-77.013402,Ruben Munoz,1,2,2.60,1.30,Si,Si,1,,,,
2564028,Tambo Chinchon - Calle Chinchón Nro 960,-12.095543,-77.027008,Luis Castro,5,2,Si,280,150,Si,1 items,1,,,
2564005,Tambo Ovalo Habich - Ave. ALFREDO MENDIOLA,-12.029362,-77.056980,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,3,,,
2563933,Tambo Navarrete - Ave. Navarrete 449,-12.091958,-77.026794,Luis Castro,6,3,Si,280,150,Si,2 items,1,,,
2563928,Tambo Habich c5 - CL.Eduardo Habich Mza.B,-12.027645,-77.056118,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,,,
2563887,Tambo Petit 3 - Ave. Petit Thouars,-12.092939,-77.031871,Luis Castro,6,2,Si,280,150,Si,1 items,1,,,
2563811,Tambo Camreal - Ave. Camino Real,-12.094211,-77.035329,Luis Castro,6,Si,280,150,Si,Si,1,,,,
2563810,tambo tda habich,-12.024810,-77.051857,Elena Gabriel,5,3,2.80,1.50,Si,2 items,3,,,,
2563706,Tambo Corregidor - Ave. Alameda Del,-12.102450,-76.949263,Moises Monroy,5,1,Si,2.80,1.50,Si,Si,1,,,
2563701,Tambo Honorio Delgado,-12.022529,-77.053223,Elena Gabriel,6,3,Si,2.80,1.50,Si,2 items,1,,,
2563669,TAMBO PRESCOTT ,-12.092809,-77.047321,Luis Castro,6,2,Si,2.80,1.50,Si,1 items,1,,,
2563594,Tambo Toulon - Calle 12 MZA.,-12.073338,-76.952505,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2563585,Tambo Mendiola 2 - Ave. B NRO. 501,-12.025778,"-77.05886,",Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
2563563,Tambo Fontana - 0,-12.073431,-76.955107,Moises Monroy,5,2,Si,2.80,1.50,Si,1 items,1,,,
2563560,Tambo Rpalma - Ave. Javier Prado,-12.090638,-77.018841,Luis Castro,6,3,Si,2.80,1.50,Si,2 items,1,,,
2561998,Tambo Victor Belaunde - Ave. Victor Belaunde,-11.937798,-77.052571,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,3,quiebre total,,
2561926,Wong Aldabas - Ave. Benavides Cdra. 52,-12.130241,-76.982397,Grecia Ormeño,6,5,Si,Si,2.70,1.40,Si,Si,1,,
2561903,Tambo Punta Hermosa - MZA. M LOTE.,-12.332694,-76.824726,Luis Castro,5,1,Si,280,150,Si,Si,1,,,
2561896,Tambo Maestro - Ave. EL MAESTRO,-11.966459,-77.055959,Elena Gabriel,4,2,2.80150,1.50,Si,1 items,3,,,,
2561874,Tambo San Bartolo - Ave. MAR PACIFICO,-12.388661,-76.778456,Luis Castro,4,1,Si,280,150,Si,Si,1,,,
2561844,Tambo Ancon - Ave. José Carlos,-11.776938,-77.163966,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2561825,Tambo San German C2 - Calle SAN GERMAN,-12.035282,-77.034125,Moises Monroy,6,2,Si,2.80,1.50,Si,1 items,1,,,
2561798,Tambo San Vicente - Fundo San Vicente,-12.276823,-76.869777,Luis Castro,6,1,Si,280,150,Si,Si,1,,,
2561775,Tambo Tarapaca - Ave. Tarapacá 533,-12.029730,-77.035613,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2561746,tambo puente piedra,-11.856186,-77.084958,Heidy Ovalles,tambo puente piedra,6,1,Si,2.80,1.50,Si,1 items,1,,
2561694,Tambo Huamantanga - Ave. CERCADO DE PUENTE PIEDRA,-11.862761,-77.076653,Heidy Ovalles,6,3,Si,2.80,1.50,Si,1 items,1,,,
2561693,TAMBO BOLOGNESI LURIN ,-12.275306,-76.868312,Luis Castro,6,1,Si,2.80,1.50,Si,Si,1,,,
2561677,Tambo Alcazar - Ave. Alcazar Nro. 778,-12.027299,-77.032554,Moises Monroy,5,2,2.80,1.50,Si,1 items,1,,,,
2561672,Tambo condorcanqui,-11.887718,-77.036061,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,6,,,
2561670,Tambo Bolonesi c1,-11.864206,-77.077374,Heidy Ovalles,6,1,Si,2.80,1.50,Si,1 items,1,,,
2561644,tambo thorne,-11.867707,-77.074693,Heidy Ovalles,tambo thorne,6,2,Si,2.80,1.50,Si,1 items,1,,
2561640,Tambo Alcazar C2 - Ave. Alcázar 204,-12.031571,-77.028007,Moises Monroy,6,1,Si,2.80,1.50,Si,Si,1,,,
2561316,Tambo Angamos 2 - Ave. Angamos 401,-12.113649,-77.033021,Elena Gabriel,6,1,Si,2.80,1.50,Si,Si,1,,,
